lag_bin,dist_from_km,dist_to_km,dist_mid_km,n_pairs,semivariance,pred_col,residual_definition
1,0.0,32.67137704585987,16.123661101752933,14272,66.25217268590906,xgboost_pred,Value - xgboost_pred
2,32.67137704585987,65.34275409171974,50.27636776553473,15697,93.88185205321417,xgboost_pred,Value - xgboost_pred
3,65.34275409171974,98.01413113757961,82.26081971933608,14267,68.43905471896171,xgboost_pred,Value - xgboost_pred
4,98.01413113757961,130.68550818343948,112.91081113499766,11733,55.916496542043795,xgboost_pred,Value - xgboost_pred
5,130.68550818343948,163.35688522929934,141.67919522647458,13619,49.321485579836406,xgboost_pred,Value - xgboost_pred
6,163.35688522929934,196.02826227515922,177.18925501977,7188,48.042113351737314,xgboost_pred,Value - xgboost_pred
7,196.02826227515922,228.6996393210191,213.46164570952047,9111,50.23912396436244,xgboost_pred,Value - xgboost_pred
8,228.6996393210191,261.37101636687896,242.7708209042595,10707,55.56608658534868,xgboost_pred,Value - xgboost_pred
9,261.37101636687896,294.0423934127388,277.9928911258717,14326,59.23056968015499,xgboost_pred,Value - xgboost_pred
10,294.0423934127388,326.7137704585987,310.0356370634906,9200,63.65728373537703,xgboost_pred,Value - xgboost_pred
11,326.7137704585987,359.3851475044586,343.6170931645301,7672,56.29966127287433,xgboost_pred,Value - xgboost_pred
12,359.3851475044586,392.05652455031844,374.2121290946813,4199,53.115921150234385,xgboost_pred,Value - xgboost_pred
13,392.05652455031844,424.7279015961783,412.21092134223954,2184,36.59398827964169,xgboost_pred,Value - xgboost_pred
14,424.7279015961783,457.3992786420382,441.5856586839829,1113,23.218796776463446,xgboost_pred,Value - xgboost_pred
15,457.3992786420382,490.07065568789807,472.88377526505036,1441,23.709619347698283,xgboost_pred,Value - xgboost_pred
